,balance,equity,balance_btc,equity_btc
7200,415.87825224400063,410.9106577480006,0.0,1.8741294898571277
7260,415.99905822800065,414.79330224400064,0.0,-1.0849499999999992
7320,423.06213763940593,416.4668082280007,0.0,0.467750000000002
7380,427.1567588960007,420.6222981700007,0.0,-2.4398394694052334
7440,428.33580337400076,425.6472788960007,0.0,-1.5094800000000015
7500,428.7770673880007,426.18162337400076,0.0,-2.154180000000004
7560,428.7770673880007,425.6266673880007,0.0,-3.1504000000000016
7620,429.96013152400064,425.8008673880007,0.0,-2.976200000000003
7680,429.95281362400067,425.59873152400064,0.0,-4.3614000000000015
7740,429.95281362400067,426.44905362400067,0.0,-3.5037600000000104
7800,430.92102597400066,426.4066536240007,0.0,-3.5461600000000115
7860,431.88630629800065,426.74172597400064,0.0,-4.1793000000000085
7920,431.88630629800065,427.4934662980006,0.0,-4.392840000000009
7980,432.5555497680007,427.44756629800065,0.0,-4.438740000000007
8040,433.95036276600064,425.8074097680007,0.0,-6.748140000000005
8100,441.435671374753,424.3322127660006,0.0,-9.61815
8160,445.7498380760005,445.1899903940005,0.0,-0.032249999999999446
8220,449.9058797420004,445.20033807600055,0.0,-0.549499999999992
8280,450.1364297140004,449.0077897420004,0.0,-0.8980900000000024
8340,450.5779065980004,448.49277971400045,0.0,-1.6436500000000007
8400,450.57024165800044,446.8696665980004,0.0,-3.708240000000011
8460,452.12819715000046,449.95264165800046,0.0,-0.617599999999991
8520,456.11580387000055,452.45710715000047,0.0,0.328910000000011
8580,457.4158154300006,455.89417387000054,0.0,-0.22163000000000377
8640,457.86642208400053,456.67383543000057,0.0,-0.7419800000000045
8700,458.5340826520005,456.8262720840005,0.0,-1.0401500000000097
8760,458.30565496441653,459.58609265200056,0.0,1.05201000000003
8820,459.927566179487,426.80810767400044,0.0,-31.497547290416065
8880,460.085792093487,455.8865396000005,0.0,-4.2025180634865045
8940,467.6957777240005,461.4258440300005,0.0,1.3400519365135166
9000,467.83233495600047,467.3383177240005,0.0,-0.35745999999999506
9060,467.83233495600047,465.68485495600044,0.0,-2.1474800000000234
9120,468.15142157000054,466.15111495600047,0.0,-1.6812200000000057
9180,471.5711735960005,469.82996157000053,0.0,1.6785399999999966
9240,471.5711735960005,471.49713359600054,0.0,-0.07403999999999136
9300,472.17469888000056,470.88071359600053,0.0,-0.6904599999999922
9360,473.3967869260006,472.0924688800006,0.0,-0.08222999999999069
9420,473.87608260600064,472.74607692600057,0.0,-0.6507099999999878
9480,477.1200963100005,471.86561260600064,0.0,-2.0104699999999958
9540,478.1889607100005,471.34418631000057,0.0,-5.77590999999998
9600,479.26870861400056,473.42956071000054,0.0,-4.75939999999998
9660,479.3809574440006,469.59536861400056,0.0,-9.67333999999999
9720,491.90365091800044,472.0343374440005,0.0,-7.346620000000137
9780,491.90365091800044,491.5535809180004,0.0,-0.35007000000000227
9840,491.90365091800044,491.82519091800043,0.0,-0.07846000000000224
9900,492.52995973800046,491.81135091800047,0.0,-0.0923000000000007
9960,492.9942956700005,492.7134197380004,0.0,0.18346000000000104
10020,494.0970200000005,492.89512567000054,0.0,-0.09916999999999868
10080,494.0970200000005,492.9465200000005,0.0,-1.1505000000000045
10140,494.3526520800005,493.0703600000005,0.0,-1.026660000000006
10200,494.3526520800005,492.7453420800005,0.0,-1.60731
10260,494.3526520800005,492.22892208000053,0.0,-2.123730000000005
10320,494.6080677660005,492.4272820800005,0.0,-1.9253699999999998
10380,494.6080677660005,491.8628677660005,0.0,-2.7452000000000036
10440,494.6080677660005,492.05156776600046,0.0,-2.5565000000000024
10500,494.6080677660005,492.1569677660005,0.0,-2.4511000000000003
10560,494.6080677660005,491.9937677660005,0.0,-2.6143000000000005
10620,494.6080677660005,491.43446776600047,0.0,-3.1736000000000018
10680,494.6080677660005,491.75066776600045,0.0,-2.857400000000002
10740,494.5996250460005,492.0141677660005,0.0,-2.5938999999999997
10800,494.5996250460005,492.8300750460005,0.0,-1.7695500000000068
10860,494.5996250460005,492.7961250460005,0.0,-1.8035000000000077
