,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
1484,38512,HYPE,-2.7973864705339517,-0.024773220000000002,1030.9195381158445,0.0,1030.9195381158445,1.0,4.58,27.045,-73.88,26.434216927831017,close_unstuck_short
1485,38549,HYPE,0.0,-0.0073449119999999994,1030.9121932038445,0.0,1030.9121932038445,1.0,1.38,26.612,1.38,26.612,entry_initial_normal_long
1486,38551,HYPE,0.3712200000000026,-0.007419156,1031.2759940478445,0.0,1031.2759940478445,1.0,-1.38,26.881,0.0,26.612,close_grid_long
1487,38633,HYPE,0.0,-0.06926647600000001,1031.2067275718446,0.0,1031.2067275718446,1.0,-12.73,27.206,-86.61,26.547654158043592,entry_trailing_cropped_short
1488,38634,HYPE,-2.4461730736582763,-0.020187594000000003,1028.7403669041862,0.0,1028.7403669041862,1.0,3.71,27.207,-82.9,26.547654158043592,close_unstuck_short
1489,38657,HYPE,0.0,-0.01857964,1028.721787264186,0.0,1028.721787264186,1.0,-3.4,27.323,-86.3,26.578200807668757,entry_trailing_cropped_short
1490,38683,HYPE,0.0,-0.007298032000000001,1028.714489232186,0.0,1028.714489232186,1.0,1.36,26.831,1.36,26.831,entry_initial_normal_long
1491,38726,HYPE,0.36992000000000275,-0.007372016000000001,1029.077037216186,0.0,1029.077037216186,1.0,-1.36,27.103,0.0,26.831,close_grid_long
1492,38727,HYPE,-0.3648714427085568,-0.0037407659999999995,1028.7084250074774,0.0,1028.7084250074774,1.0,0.69,27.107,-85.61,26.578200807668757,close_unstuck_short
1493,38733,HYPE,0.0,-0.0036144240000000006,1028.7048105834774,0.0,1028.7048105834774,1.0,-0.66,27.382,-86.27,26.584350192935233,entry_trailing_cropped_short
1494,38880,HYPE,0.0,-0.007332120000000001,1028.6974784634774,0.0,1028.6974784634774,1.0,1.35,27.156,1.35,27.156,entry_initial_normal_long
