,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
4344,133801,HYPE,0.0,-0.017805216,3806.705639866003,0.0,3806.705639866003,1.0,-8.58,10.376,-8.58,10.376,entry_initial_normal_short
4345,133806,HYPE,0.0,-0.0438682,3806.661771666003,0.0,3806.661771666003,1.0,-20.84,10.525,-29.42,10.481545887151597,entry_grid_normal_short
4346,133824,HYPE,4.046600000000007,-0.060864096,3810.647507570003,0.0,3810.647507570003,1.0,29.42,10.344,0.0,10.481545887151597,close_grid_short
4347,133825,HYPE,0.0,-0.017820978,3810.629686592003,0.0,3810.629686592003,1.0,-8.61,10.349,-8.61,10.349,entry_initial_normal_short
4348,133863,HYPE,1.1967899999999942,-0.017581620000000003,3811.808894972003,0.0,3811.808894972003,1.0,8.61,10.21,0.0,10.349,close_grid_short
4349,133864,HYPE,0.0,-0.017835888000000005,3811.7910590840033,0.0,3811.7910590840033,1.0,-8.72,10.227,-8.72,10.227,entry_initial_normal_short
4350,133881,HYPE,1.1946400000000041,-0.017596960000000002,3812.9681021240035,0.0,3812.9681021240035,1.0,8.72,10.09,0.0,10.227,close_grid_short
4351,133885,HYPE,0.0,-0.017829635999999996,3812.9502724880035,0.0,3812.9502724880035,1.0,-8.79,10.142,-8.79,10.142,entry_initial_normal_short
4352,133901,HYPE,0.0,-0.04392549000000001,3812.9063469980033,0.0,3812.9063469980033,1.0,-21.35,10.287,-30.14,10.244712342402124,entry_grid_normal_short
4353,133929,HYPE,4.030090000000005,-0.060949108,3816.875487890003,0.0,3816.875487890003,1.0,30.14,10.111,0.0,10.244712342402124,close_grid_short
4354,133931,HYPE,0.0,-0.01784691,3816.857640980003,0.0,3816.857640980003,1.0,-8.85,10.083,-8.85,10.083,entry_initial_normal_short
4355,133942,HYPE,1.194749999999998,-0.017607960000000002,3818.034783020003,0.0,3818.034783020003,1.0,8.85,9.948,0.0,10.083,close_grid_short
4356,133945,HYPE,0.0,-0.8272044000000001,3817.207578620003,0.0,3817.207578620003,1.0,417.78,9.9,557.04,10.3032993860405,entry_trailing_normal_long
4357,133946,HYPE,0.0,-0.017848214,3817.189730406003,0.0,3817.189730406003,1.0,-8.87,10.061,-8.87,10.061,entry_initial_normal_short
4358,133948,HYPE,0.0,-0.04396314,3817.145767266003,0.0,3817.145767266003,1.0,-21.54,10.205,-30.41,10.162998026964814,entry_grid_normal_short
4359,133956,HYPE,4.044470000000024,-0.06100246,3821.1292348060033,0.0,3821.1292348060033,1.0,30.41,10.03,0.0,10.162998026964814,close_grid_short
4360,133957,HYPE,0.0,-0.017865344000000002,3821.1113694620035,0.0,3821.1113694620035,1.0,-8.89,10.048,-8.89,10.048,entry_initial_normal_short
4361,133966,HYPE,1.2001499999999983,-0.017625314,3822.2938941480033,0.0,3822.2938941480033,1.0,8.89,9.913,0.0,10.048,close_grid_short
4362,133967,HYPE,0.0,-0.017875242,3822.276018906003,0.0,3822.276018906003,1.0,-8.91,10.031,-8.91,10.031,entry_initial_normal_short
4363,133972,HYPE,1.2028499999999982,-0.017634672,3823.4612342340033,0.0,3823.4612342340033,1.0,8.91,9.896,0.0,10.031,close_grid_short
4364,133975,HYPE,0.0,-0.017893934,3823.4433403000035,0.0,3823.4433403000035,1.0,-8.93,10.019,-8.93,10.019,entry_initial_normal_short
4365,133979,HYPE,0.0,-0.04408275600000001,3823.3992575440034,0.0,3823.3992575440034,1.0,-21.69,10.162,-30.62,10.120295558458524,entry_grid_normal_short
4366,133991,HYPE,0.0,-0.15365750400000003,3823.2456000400034,0.0,3823.2456000400034,1.0,-74.36,10.332,-104.98,10.270251190702991,entry_grid_normal_short
4367,133992,HYPE,21.09746953845334,-0.84511297,3843.4979566084567,0.0,3843.4979566084567,1.0,-408.07,10.355,148.97,10.3032993860405,close_grid_long
4368,133998,HYPE,20.36429046154664,-0.31104936,3863.551197710003,0.0,3863.551197710003,1.0,-148.97,10.44,0.0,10.3032993860405,close_grid_long
4369,133999,HYPE,0.0,-0.023193626000000002,3863.528004084003,0.0,3863.528004084003,1.0,11.09,10.457,11.09,10.457,entry_initial_normal_long
4370,134002,HYPE,1.8520299999999978,-0.023564032000000002,3865.356470052003,0.0,3865.356470052003,1.0,-11.09,10.624,0.0,10.457,close_grid_long
4371,134003,HYPE,0.0,-0.023213280000000003,3865.3332567720026,0.0,3865.3332567720026,1.0,10.96,10.59,10.96,10.59,entry_initial_normal_long
4372,134029,HYPE,1.8631999999999993,-0.023585920000000003,3867.1728708520027,0.0,3867.1728708520027,1.0,-10.96,10.76,0.0,10.59,close_grid_long
4373,134029,HYPE,0.0,-0.196053656,3866.9768171960027,0.0,3866.9768171960027,1.0,-91.46,10.718,-196.44,10.478717420077377,entry_grid_cropped_short
4374,134030,HYPE,0.0,-0.023234190000000002,3866.9535830060026,0.0,3866.9535830060026,1.0,10.85,10.707,10.85,10.707,entry_initial_normal_long
4375,134037,HYPE,1.8553499999999932,-0.02360526,3868.7853277460026,0.0,3868.7853277460026,1.0,-10.85,10.878,0.0,10.707,close_grid_long
4376,134038,HYPE,0.0,-0.023229370000000003,3868.7620983760025,0.0,3868.7620983760025,1.0,10.69,10.865,10.69,10.865,entry_initial_normal_long
4377,134052,HYPE,0.0,-0.0683091,3868.6937892760025,0.0,3868.6937892760025,1.0,32.07,10.65,42.76,10.703750000000001,entry_grid_normal_long
4378,134134,HYPE,21.55288999999997,-0.407377272,3889.8393020040025,0.0,3889.8393020040025,1.0,196.44,10.369,0.0,10.478717420077377,close_grid_short
4379,134135,HYPE,0.0,-0.018186192,3889.8211158120025,0.0,3889.8211158120025,1.0,-8.74,10.404,-8.74,10.404,entry_initial_normal_short
4380,134136,HYPE,0.0,-0.23623743000000005,3889.5848783820024,0.0,3889.5848783820024,1.0,114.29,10.335,157.05,10.435399554282077,entry_grid_cropped_long
4381,134170,HYPE,1.223600000000005,-0.017941472,3890.7905369100026,0.0,3890.7905369100026,1.0,8.74,10.264,0.0,10.404,close_grid_short
4382,134171,HYPE,0.0,-0.018204788,3890.772332122003,0.0,3890.772332122003,1.0,-8.87,10.262,-8.87,10.262,entry_initial_normal_short
4383,134181,HYPE,0.0,-0.044841972,3890.7274901500027,0.0,3890.7274901500027,1.0,-21.54,10.409,-30.41,10.366122985859914,entry_grid_normal_short
4384,134197,HYPE,4.109089999999974,-0.062224942,3894.774355208003,0.0,3894.774355208003,1.0,30.41,10.231,0.0,10.366122985859914,close_grid_short
4385,134198,HYPE,0.0,-0.018222848000000003,3894.756132360003,0.0,3894.756132360003,1.0,-8.96,10.169,-8.96,10.169,entry_initial_normal_short
4386,134239,HYPE,0.0,-0.04489088,3894.711241480003,0.0,3894.711241480003,1.0,-21.76,10.315,-30.72,10.272416666666667,entry_grid_normal_short
4387,134256,HYPE,4.129279999999999,-0.062287871999999994,3898.778233608003,0.0,3898.778233608003,1.0,30.72,10.138,0.0,10.272416666666667,close_grid_short
4388,134257,HYPE,0.0,-0.018243000000000002,3898.759990608003,0.0,3898.759990608003,1.0,-9.0,10.135,-9.0,10.135,entry_initial_normal_short
4389,134275,HYPE,1.223999999999993,-0.017998200000000002,3899.9659924080033,0.0,3899.9659924080033,1.0,9.0,9.999,0.0,10.135,close_grid_short
4390,134276,HYPE,0.0,-0.018234436000000003,3899.9477579720033,0.0,3899.9477579720033,1.0,-9.13,9.986,-9.13,9.986,entry_initial_normal_short
4391,134281,HYPE,0.0,-0.044911986,3899.9028459860033,0.0,3899.9028459860033,1.0,-22.17,10.129,-31.3,10.087287859424922,entry_grid_normal_short
4392,134296,HYPE,4.140610000000064,-0.0623183,3903.9811376860034,0.0,3903.9811376860034,1.0,31.3,9.955,0.0,10.087287859424922,close_grid_short
4393,134297,HYPE,0.0,-0.018264528000000002,3903.9628731580033,0.0,3903.9628731580033,1.0,-9.18,9.948,-9.18,9.948,entry_initial_normal_short
4394,134308,HYPE,1.2209400000000081,-0.01802034,3905.1657928180034,0.0,3905.1657928180034,1.0,9.18,9.815,0.0,9.948,close_grid_short
4395,134309,HYPE,0.0,-0.018259744,3905.1475330740036,0.0,3905.1475330740036,1.0,-9.32,9.796,-9.32,9.796,entry_initial_normal_short
