,balance,equity,balance_btc,equity_btc
7920,471.76261453199976,451.7225150919998,0.0,-19.555339999999998
7980,472.87008441199976,451.9486145319998,0.0,-19.81399999999998
8040,475.61566521599974,437.07079441199994,0.0,-35.799289999999786
8100,480.7714972059998,451.414745216,0.0,-24.200919999999794
8160,487.4720797159999,478.2058672059998,0.0,-2.5656300000000343
8220,490.9550826919998,487.0477297159999,0.0,-0.4243500000000077
8280,491.6052063239997,489.6555926919998,0.0,-1.2994899999999792
8340,492.9159957719997,487.19475632399974,0.0,-4.410449999999961
8400,495.5268253099997,482.1408457719997,0.0,-10.775149999999988
8460,495.5068413099997,488.5446953099998,0.0,-6.98212999999996
8520,497.1206898039997,491.07871130999973,0.0,-4.428129999999941
8580,497.1206898039997,494.62712980399976,0.0,-2.493559999999947
8640,499.9867532739997,495.09547980399975,0.0,-2.0252099999999484
8700,503.58388932999964,498.38585327399966,0.0,-1.600900000000004
8760,504.9205798459997,502.84776932999966,0.0,-0.7361200000000088
8820,505.1477813619997,496.2393215259997,0.0,-8.920379999999994
8880,505.1477813619997,501.79386136199975,0.0,-3.3539199999999774
8940,510.83109860799976,504.1872413619997,0.0,-0.9605399999999684
9000,510.83109860799976,511.51557860799977,0.0,0.6844799999999855
9060,511.07054755999974,508.1906986079997,0.0,-2.6404000000000205
9120,511.06148017999976,508.5252975599998,0.0,-2.545250000000007
9180,511.06148017999976,510.76447017999976,0.0,-0.29701000000001104
9240,511.9777628199997,509.63248017999973,0.0,-1.4290000000000127
9300,511.9687059399997,508.6480528199997,0.0,-3.329710000000009
9360,513.6496937499996,510.4975959399997,0.0,-1.471110000000013
9420,514.6050228839995,512.3723337499996,0.0,-1.2773600000000014
9480,516.2862281979997,508.39228288399954,0.0,-6.212739999999976
9540,516.9518834619996,510.42896819799967,0.0,-5.857259999999977
9600,519.3478498299996,512.5052134619997,0.0,-4.446669999999972
9660,519.4786936339997,509.38544982999963,0.0,-9.962399999999992
9720,523.1514611439995,514.3898236339998,0.0,-5.088869999999954
9780,525.9837573099996,522.7958211439995,0.0,-0.35563999999997475
9840,526.5179609819997,525.5108573099997,0.0,-0.4729000000000019
9900,527.4248751339998,525.9569309819997,0.0,-0.5610300000000012
9960,527.4248751339998,527.2514351339997,0.0,-0.17343999999999263
10020,529.1586320339998,526.4614351339998,0.0,-0.9634399999999925
10080,529.3189236379998,528.1755720339997,0.0,-0.9830600000000085
10140,529.3189236379998,528.3412836379998,0.0,-0.977640000000011
10200,529.4474898479998,527.8669236379998,0.0,-1.452000000000004
10260,529.4474898479998,526.5892298479998,0.0,-2.8582600000000062
10320,529.7648684319997,527.7759098479999,0.0,-1.6715799999999734
10380,530.3050830379997,524.3295284319997,0.0,-5.435339999999997
10440,530.2836808879997,525.6974330379998,0.0,-4.607649999999995
10500,532.0394644279997,526.9071908879997,0.0,-3.376489999999998
10560,532.2006757879998,527.4841044279998,0.0,-4.555359999999979
10620,532.2006757879998,524.1258357879998,0.0,-8.074839999999986
10680,532.1945297779998,526.0248957879999,0.0,-6.175779999999985
10740,532.1730877279998,527.4758397779999,0.0,-4.7186899999999765
